"key","z","x","y","areaIds","areaNames","west","east","south","north","targetPath"
"12/3420/1667","12","3420","1667","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.58593750","120.67382813","31.65338140","31.72816715","public/map-tiles/changshu-demo/12/3420/1667.png"
"12/3420/1668","12","3420","1668","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.58593750","120.67382813","31.57853543","31.65338140","public/map-tiles/changshu-demo/12/3420/1668.png"
"12/3421/1667","12","3421","1667","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.67382813","120.76171875","31.65338140","31.72816715","public/map-tiles/changshu-demo/12/3421/1667.png"
"12/3421/1668","12","3421","1668","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.67382813","120.76171875","31.57853543","31.65338140","public/map-tiles/changshu-demo/12/3421/1668.png"
"12/3422/1667","12","3422","1667","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.76171875","120.84960938","31.65338140","31.72816715","public/map-tiles/changshu-demo/12/3422/1667.png"
"12/3422/1668","12","3422","1668","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.76171875","120.84960938","31.57853543","31.65338140","public/map-tiles/changshu-demo/12/3422/1668.png"
"12/3423/1667","12","3423","1667","guli-ancient-town","古里古镇","120.84960938","120.93750000","31.65338140","31.72816715","public/map-tiles/changshu-demo/12/3423/1667.png"
"12/3423/1668","12","3423","1668","guli-ancient-town","古里古镇","120.84960938","120.93750000","31.57853543","31.65338140","public/map-tiles/changshu-demo/12/3423/1668.png"
"13/6841/3335","13","6841","3335","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.62988281","120.67382813","31.65338140","31.69078181","public/map-tiles/changshu-demo/13/6841/3335.png"
"13/6841/3336","13","6841","3336","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.62988281","120.67382813","31.61596594","31.65338140","public/map-tiles/changshu-demo/13/6841/3336.png"
"13/6841/3337","13","6841","3337","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.62988281","120.67382813","31.57853543","31.61596594","public/map-tiles/changshu-demo/13/6841/3337.png"
"13/6842/3335","13","6842","3335","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.67382813","120.71777344","31.65338140","31.69078181","public/map-tiles/changshu-demo/13/6842/3335.png"
"13/6842/3336","13","6842","3336","core-yushan-oldcity-shanghu","虞山-老城-尚湖核心区","120.67382813","120.71777344","31.61596594","31.65338140","public/map-tiles/changshu-demo/13/6842/3336.png"
